"placeID","name","category"
"ChIJ-djeq4ItGUcR_Z-0W13yJb0","superpharm","shopping"
"ChIJ07TYV6rMHkcRRAUQ0C9LhlE","gorka_sczesliwicka","entertainment"
"ChIJ1ct2nUwtGUcR6hsKewA9psI","hairdresser","entertainment"
"ChIJ1eENRpgtGUcRNiU_TXjAQJM","klaudias_home","home"
"ChIJ249xMY3MHkcRkGgnFhTHz4g","metro_centrum","transport"
"ChIJ42xRrX7MHkcR8eCUNcawhqc","sisters_house","entertainment"
"ChIJ4zcPZpgtGUcRZF9Ut87mAoU","zabka","shopping"
"ChIJ55j7A2PMHkcRVrjfaQJBbx8","","shopping"
"ChIJ6eFsD_TMHkcRxdd5F5AgcDA","","shopping"
"ChIJ6yNoIVj6PEcRLlh1V4RS-rw","millenium_hall","shopping"
"ChIJ7RG0DgL7PEcRKoS1-ky6_Ak","bar","restaurants"
"ChIJ906hXoIyGUcRRI_kS7FPFAg","stop1","transport"
"ChIJA1EHdJgtGUcRfgrcZf-1y8w","klaudias_home","home"
"ChIJBxty4SHxPEcRJTbdbeVvsHA","family_home","home"
"ChIJD9StvOjMHkcRvSFaLhn0Qb4","stop3","transport"
"ChIJEZoZbZgtGUcR33xqnX7JPlI","klaudias_home","home"
"ChIJF8u2SOnMHkcR7TrJJ2_WP80","Politechnika","university"
"ChIJFV0gqhL7PEcRPlcDev5AN80","aldi","shopping"
"ChIJGTFYdZr8PEcRXXBgrSgYeVQ","friends_house_z","entertainment"
"ChIJGVrIUenMHkcRkSvEAxUOK3E","mini","university"
"ChIJGzeJZIQtGUcRO7V2cBaTBnY","lashes","entertainment"
"ChIJIQZkFPPMHkcRpQq8gdD-KIw","metro_centrum","transport"
"ChIJIy6qKlj6PEcR1ag7JVqm03I","millenium_hall","shopping"
"ChIJJTQFFZgtGUcR56w6CTfS4Sc","klaudias_home","home"
"ChIJJfPc1HroIkcR16c9fXvkCyc","stop2","transport"
"ChIJNa0oNpotGUcRYKutQi2l4o8","rossmann2","shopping"
"ChIJOWqUcOzMHkcROp3KVw-z22k","mini","university"
"ChIJP_gbiRzKHkcRikfhqpSSvDA","climbing","entertainment"
"ChIJQZPVjQT7PEcRDVeugblxFXE","plaza","shopping"
"ChIJR2B1yIEyGUcREqvv0_knRe8","","shopping"
"ChIJRbUMt5QyGUcRYcsU07KsfUw","zdrofit","entertainment"
"ChIJT8zquI3MHkcRT8t5IL-qhGs","zlote_tarasy","shopping"
"ChIJTeWAPIzMHkcRXOfYhMkscBI","zlote_tarasy","shopping"
"ChIJUQny9WbLHkcRvotyC0ysr7M","friends_house_o","entertainment"
"ChIJUb1WoVfLHkcR_hRLT0p07mQ","blue_city","shopping"
"ChIJWTUjZY3MHkcR2U7HZ_LJC-s","zlote_tarasy","shopping"
"ChIJX0f7CZr8PEcRiukgjDlu8v8","friends_house_z","entertainment"
"ChIJ_SJ_NdvMHkcRZdYYXWD2Q7E","metro_pole_mokotowskie","transport"
"ChIJ_fyXfy_KHkcR8YC0BTGboXE","bus_stop1","transport"
"ChIJcyc6oJL6PEcRUHBmt-_0hVM","","entertainment"
"ChIJh8cbGsEtGUcRg08hvPsBltA","loop_fitness","entertainment"
"ChIJhfhuPlP7PEcRARuQ2yK2lIk","lidl","shopping"
"ChIJjx5w448yGUcRV6ZM2_VdJ8M","biedronka_stoklosy","shopping"
"ChIJlXJwlFnNHkcRA6tM8KnHtWU","coffe","entertainment"
"ChIJlZ_fnpD8PEcRXcrFe272xVw","friends_house_z","entertainment"
