endTime,startTime,activityProbability,topCandidateType,topCandidateProbability,distanceMeters,startLatitude,startLongitude,endLatitude,endLongitude,relativeWeekNum
2024-12-05T20:05:47.294+01:00,2024-12-05 19:20:14.038,0.929627,in tram,0.331291,1402.262695,52.239510,20.913227,52.252085,20.911674,0
2024-12-05T21:03:10.634+01:00,2024-12-05 20:05:47.294,0.549502,walking,0.470463,48.434212,52.252085,20.911674,52.251950,20.912350,0
2024-12-06T10:16:05.319+01:00,2024-12-06 09:50:56.900,0.982012,in subway,0.0,7376.84668,52.239039,20.914292,52.221923,21.007283,0
2024-12-06T11:56:28.556+01:00,2024-12-06 11:50:39.779,0.952357,cycling,0.0,1133.306519,52.222750,21.008905,52.225340,21.010862,0
2024-12-06T12:48:18.280+01:00,2024-12-06 12:39:12.941,0.968157,cycling,0.0,1576.885254,52.229211,21.009986,52.241266,21.000684,0
2024-12-06T15:39:04.320+01:00,2024-12-06 15:25:47.538,0.973451,cycling,0.0,2115.816895,52.241471,21.002357,52.230681,21.021695,0
2024-12-06T16:40:43.346+01:00,2024-12-06 16:01:02.885,0.988195,cycling,0.0,7799.994141,52.234410,21.008683,52.252135,20.911935,0
2024-12-06T20:18:09.668+01:00,2024-12-06 20:08:43.834,0.835047,in bus,0.448438,1710.432617,52.251892,20.913082,52.239037,20.914308,0
2024-12-06T20:34:29.661+01:00,2024-12-06 20:18:09.668,0.991131,in subway,0.902128,5818.821289,52.239037,20.914308,52.232447,20.999076,0
2024-12-06T21:00:15.833+01:00,2024-12-06 20:38:48.071,0.998278,in tram,0.876797,6335.791992,52.231982,20.999461,52.178397,21.001969,0
2024-12-06T21:04:19.320+01:00,2024-12-06 21:00:15.833,0.887026,walking,0.465144,163.5672,52.178397,21.001969,52.179181,21.003013,0
2024-12-06T23:57:18.196+01:00,2024-12-06 23:41:33.072,0.981878,walking,0.84867,1515.2854,52.179627,21.002542,52.188862,20.992803,0
2024-12-07T12:08:27.939+01:00,2024-12-07 12:05:46.156,0.975013,walking,0.858172,103.070366,52.189041,20.992577,52.188117,20.992707,0
2024-12-08T14:02:03.902+01:00,2024-12-08 13:38:18.562,0.991322,in passenger vehicle,0.871254,12255.504883,52.188902,20.991299,52.260437,21.034184,0
2024-12-08T18:13:16.088+01:00,2024-12-08 17:56:48.833,0.949104,walking,0.726671,1243.557129,52.261752,21.035291,52.255692,21.034113,0
2024-12-08T18:49:06.999+01:00,2024-12-08 18:13:16.088,0.962587,in tram,0.87956,9958.603516,52.255692,21.034113,52.252455,20.913777,0
2024-12-09T10:00:34.418+01:00,2024-12-08 18:49:06.999,0.648196,walking,0.572448,174.624878,52.252600,20.912272,52.252693,20.911796,0
2024-12-09T10:38:04.007+01:00,2024-12-09 10:00:34.418,0.993485,cycling,0.0,7762.677246,52.254547,20.915920,52.255261,20.996781,1
2024-12-09T17:12:55.100+01:00,2024-12-09 17:08:25.533,0.997909,cycling,0.0,1008.476074,52.255783,20.995855,52.255050,20.983894,1
2024-12-09T18:22:39.946+01:00,2024-12-09 17:50:14.500,0.99819,cycling,0.0,7376.443359,52.256395,20.982002,52.252247,20.911969,1
2024-12-09T19:44:05.076+01:00,2024-12-09 18:22:39.946,0.62681,walking,0.488409,27.315014,52.252247,20.911969,52.252083,20.911670,1
2024-12-10T17:58:22.567+01:00,2024-12-10 17:57:51.793,0.991826,cycling,0.0,151.926804,52.255644,20.917428,52.256593,20.919034,1
2024-12-10T18:40:11.287+01:00,2024-12-10 18:35:29.156,0.989416,cycling,0.0,730.119263,52.256677,20.919392,52.252144,20.912045,1
2024-12-11T15:37:32.799+01:00,2024-12-10 18:40:11.287,0.570361,walking,0.0,102.6399,52.252144,20.912045,52.251728,20.910963,1
2024-12-11T16:01:19.700+01:00,2024-12-11 15:37:32.799,0.99017,cycling,0.491097,8120.813965,52.251728,20.910963,52.223610,21.008138,1
2024-12-11T16:56:40.944+01:00,2024-12-11 16:47:33.950,0.972035,cycling,0.0,1282.625122,52.223812,21.008033,52.231924,21.012721,1
2024-12-11T17:15:33.949+01:00,2024-12-11 17:10:01.164,0.665593,walking,0.537316,247.464264,52.232518,21.015746,52.233291,21.019153,1
2024-12-11T17:37:53.684+01:00,2024-12-11 17:15:33.949,0.980545,cycling,0.0,3759.457764,52.233291,21.019153,52.262554,20.992112,1
2024-12-11T18:44:00.721+01:00,2024-12-11 18:36:54.120,0.848056,cycling,0.0,174.419601,52.263912,20.990423,52.263609,20.987908,1
2024-12-11T19:14:45.545+01:00,2024-12-11 18:44:00.721,0.994712,cycling,0.0,7277.422852,52.263609,20.987908,52.252099,20.911969,1
2024-12-12T13:42:56.573+01:00,2024-12-12 13:02:25.733,0.766284,walking,0.586461,132.832321,52.252088,20.911686,52.250909,20.911371,1
